/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/context_resolution.rs:36 | INTERNAL | sem_os_ontology::policy_rule::PolicyRuleBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/context_resolution.rs:37 | INTERNAL | sem_os_ontology::relationship_type_def::RelationshipTypeDefBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/context_resolution.rs:38 | INTERNAL | sem_os_ontology::universe_def::EntryQuestion | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/context_resolution.rs:38 | INTERNAL | sem_os_ontology::universe_def::GroundingInput | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_policy/src/context_resolution.rs:39 | INTERNAL | sem_os_ontology::view_def::ViewDefBody | sem_os_policy
/Users/adamtc007/dev/sem-os/crates/sem_os_core/tests/constellation_gate_metadata.rs:1 | INTERNAL | sem_os_ontology::constellation_map_def:: | sem_os_core
/Users/adamtc007/dev/sem-os/crates/sem_os_core/tests/discovery_pipeline.rs:3 | INTERNAL | sem_os_ontology::verb_contract:: | sem_os_core
/Users/adamtc007/dev/sem-os/crates/sem_os_core/tests/discovery_pipeline.rs:6 | INTERNAL | sem_os_policy::affinity:: | sem_os_core
/Users/adamtc007/dev/sem-os/crates/sem_os_core/src/principal.rs:4 | INTERNAL | sem_os_types::agent_mode::AgentMode | sem_os_core
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-web/src/bus_runtime.rs:39 | INTERNAL | sem_os_core::principal::Principal | ob-poc-web
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-web/src/bus_runtime.rs:157 | INTERNAL | sem_os_core::error::SemOsError as E | ob-poc-web
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-web/src/main.rs:772 | INTERNAL | sem_os_policy::service::CoreServiceImpl | ob-poc-web
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_obpoc_adapter/src/lib.rs:18 | INTERNAL | sem_os_core::seeds:: | sem_os_obpoc_adapter
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_obpoc_adapter/src/scanner.rs:1538 | INTERNAL | sem_os_ontology::entity_type_def::DbTableMapping | sem_os_obpoc_adapter
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_obpoc_adapter/src/scanner.rs:1538 | INTERNAL | sem_os_ontology::entity_type_def::EntityTypeDefBody | sem_os_obpoc_adapter
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_obpoc_adapter/src/scanner.rs:1576 | INTERNAL | sem_os_ontology::entity_type_def::DbTableMapping | sem_os_obpoc_adapter
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_obpoc_adapter/src/scanner.rs:1576 | INTERNAL | sem_os_ontology::entity_type_def::EntityTypeDefBody | sem_os_obpoc_adapter
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_obpoc_adapter/src/scanner.rs:1617 | INTERNAL | sem_os_ontology::entity_type_def::EntityTypeDefBody | sem_os_obpoc_adapter
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_obpoc_adapter/src/seeds/view_seeds.rs:6 | INTERNAL | sem_os_ontology::view_def:: | sem_os_obpoc_adapter
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_obpoc_adapter/src/seeds/taxonomy_seeds.rs:8 | INTERNAL | sem_os_ontology::taxonomy_def::TaxonomyDefBody | sem_os_obpoc_adapter
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_obpoc_adapter/src/seeds/taxonomy_seeds.rs:8 | INTERNAL | sem_os_ontology::taxonomy_def::TaxonomyNodeBody | sem_os_obpoc_adapter
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_obpoc_adapter/src/seeds/derivation_seeds.rs:6 | INTERNAL | sem_os_core::types::EvidenceGrade | sem_os_obpoc_adapter
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_obpoc_adapter/src/seeds/derivation_seeds.rs:7 | INTERNAL | sem_os_ontology::derivation_spec:: | sem_os_obpoc_adapter
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_obpoc_adapter/src/seeds/policy_seeds.rs:6 | INTERNAL | sem_os_ontology::policy_rule::PolicyAction | sem_os_obpoc_adapter
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_obpoc_adapter/src/seeds/policy_seeds.rs:6 | INTERNAL | sem_os_ontology::policy_rule::PolicyPredicate | sem_os_obpoc_adapter
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_obpoc_adapter/src/seeds/policy_seeds.rs:6 | INTERNAL | sem_os_ontology::policy_rule::PolicyRuleBody | sem_os_obpoc_adapter
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_obpoc_adapter/src/pipeline_seeds.rs:12 | INTERNAL | sem_os_core::seeds:: | sem_os_obpoc_adapter
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_obpoc_adapter/src/onboarding/validators.rs:134 | INTERNAL | sem_os_ontology::attribute_def::AttributeDataType | sem_os_obpoc_adapter
